70, Female, Meghalaya, 6857177368, 160.65 cm, 65.18 kg
83, Female, Uttar Pradesh, 8228417738, 184.31 cm, 69.51 kg
89, Male, Mizoram, 8632584783, 166.11 cm, 70.77 kg
89, Female, Telangana, 9544518272, 162.23 cm, 69.44 kg
41, Male, Kerala, 8231674682, 177.95 cm, 65.01 kg
54, Female, Arunachal Pradesh, 8176437247, 149.79 cm, 60.62 kg
88, Male, Goa, 6858112757, 176.57 cm, 66.52 kg
72, Male, Mizoram, 6155116625, 150.51 cm, 74.82 kg
55, Male, Sikkim, 8287461373, 147.08 cm, 68.83 kg
25, Male, Goa, 6438875777, 154.23 cm, 74.48 kg
41, Female, Gujarat, 6647275237, 161.64 cm, 69.96 kg
87, Female, Uttar Pradesh, 6436876362, 155.56 cm, 71.12 kg
71, Male, Bihar, 6152353541, 162.71 cm, 64.25 kg
27, Male, West Bengal, 7525642667, 150.0 cm, 78.32 kg
49, Male, Haryana, 6881257232, 176.43 cm, 75.92 kg
89, Male, Uttarakhand, 6226146568, 151.71 cm, 75.43 kg
79, Male, Punjab, 7752447835, 158.13 cm, 66.03 kg
63, Female, Andhra Pradesh, 8451445556, 164.6 cm, 66.23 kg
20, Male, Chhattisgarh, 9114536423, 154.21 cm, 73.97 kg
37, Female, Telangana, 7723811677, 164.0 cm, 61.68 kg
96, Female, Madhya Pradesh, 7473887443, 164.18 cm, 62.3 kg
24, Male, Kerala, 6536686564, 176.99 cm, 69.31 kg
6, Male, Chhattisgarh, 6172424668, 149.63 cm, 67.9 kg
73, Female, Karnataka, 8317812116, 157.18 cm, 75.55 kg
79, Male, Uttar Pradesh, 9256217153, 152.42 cm, 78.47 kg
74, Male, Goa, 9636137716, 148.99 cm, 68.66 kg
29, Male, Madhya Pradesh, 8864541746, 172.96 cm, 75.48 kg
53, Male, Sikkim, 6561847814, 170.91 cm, 61.38 kg
62, Male, Jharkhand, 8757265574, 182.3 cm, 68.47 kg
19, Male, Telangana, 9843644875, 154.91 cm, 64.0 kg
95, Male, Meghalaya, 6675257333, 176.86 cm, 66.38 kg
68, Female, Uttarakhand, 9466761212, 177.01 cm, 70.61 kg
22, Male, Manipur, 8177414145, 163.34 cm, 73.68 kg
58, Female, Manipur, 6664484814, 168.23 cm, 73.26 kg
80, Male, Arunachal Pradesh, 9583258543, 153.28 cm, 71.65 kg
41, Male, Uttar Pradesh, 7833411876, 144.75 cm, 74.84 kg
60, Female, Haryana, 7818571474, 166.38 cm, 73.44 kg
35, Female, West Bengal, 6413167345, 152.86 cm, 71.45 kg
16, Female, Chhattisgarh, 7575686831, 144.83 cm, 66.14 kg
8, Male, West Bengal, 6381586213, 146.55 cm, 61.69 kg
59, Male, West Bengal, 7434324327, 167.78 cm, 66.58 kg
54, Male, Madhya Pradesh, 9631617116, 179.62 cm, 67.14 kg
98, Male, Haryana, 8787878373, 179.52 cm, 60.97 kg
88, Female, West Bengal, 8516511272, 142.05 cm, 73.93 kg
10, Female, Maharashtra, 8282512446, 169.5 cm, 71.76 kg
69, Female, Odisha, 6548245153, 171.87 cm, 70.68 kg
90, Male, Tripura, 8834738285, 169.68 cm, 65.82 kg
74, Female, Andhra Pradesh, 9624683134, 156.99 cm, 67.81 kg
83, Female, Tamil Nadu, 6836716445, 159.83 cm, 64.82 kg
83, Male, Manipur, 8413377243, 167.64 cm, 82.6 kg
85, Female, West Bengal, 9682243641, 161.17 cm, 68.1 kg
45, Female, Uttar Pradesh, 6453713514, 163.83 cm, 72.76 kg
80, Female, Odisha, 7426672841, 136.16 cm, 63.05 kg
48, Female, Tripura, 9816383484, 156.17 cm, 68.13 kg
44, Female, Andhra Pradesh, 6662156842, 162.76 cm, 69.82 kg
25, Female, Tripura, 9476181781, 163.91 cm, 64.51 kg
6, Male, Telangana, 9664375374, 164.82 cm, 72.21 kg
94, Female, Tamil Nadu, 8865438518, 161.62 cm, 70.48 kg
96, Female, Sikkim, 7336138443, 163.14 cm, 74.48 kg
16, Female, Meghalaya, 8473464351, 154.1 cm, 64.6 kg
17, Male, Sikkim, 8472266467, 152.04 cm, 67.79 kg
16, Female, Gujarat, 7564333476, 158.08 cm, 50.63 kg
8, Male, Telangana, 6715888243, 151.53 cm, 74.13 kg
43, Female, Jharkhand, 7114324727, 145.12 cm, 73.08 kg
71, Male, Maharashtra, 7788722487, 181.45 cm, 67.21 kg
43, Male, Chhattisgarh, 7525723328, 159.03 cm, 62.99 kg
74, Male, Haryana, 7172856684, 162.42 cm, 71.11 kg
13, Male, Chhattisgarh, 7282572152, 168.87 cm, 57.02 kg
93, Male, Uttarakhand, 8472181723, 152.42 cm, 64.49 kg
22, Female, West Bengal, 9483411637, 145.41 cm, 68.49 kg
55, Male, Kerala, 7573668316, 165.47 cm, 63.67 kg
97, Female, Sikkim, 7263715122, 151.64 cm, 59.69 kg
27, Female, Gujarat, 9213651216, 165.8 cm, 70.24 kg
33, Female, Tripura, 6371387227, 169.19 cm, 70.89 kg
87, Female, Himachal Pradesh, 9882483512, 157.0 cm, 76.58 kg
5, Female, Maharashtra, 6545438776, 157.62 cm, 70.05 kg
50, Female, Tripura, 6836866423, 165.43 cm, 68.22 kg
86, Male, Tripura, 8537863334, 156.12 cm, 67.37 kg
31, Female, Assam, 9723788421, 151.34 cm, 69.28 kg
96, Male, Karnataka, 7536422343, 155.92 cm, 64.98 kg
73, Female, Manipur, 7545758131, 146.3 cm, 64.12 kg
59, Male, Punjab, 7544466125, 158.23 cm, 74.2 kg
87, Male, Madhya Pradesh, 6464483683, 157.34 cm, 71.8 kg
1, Female, Mizoram, 9714484425, 143.12 cm, 71.13 kg
14, Male, Bihar, 9184784634, 159.36 cm, 62.6 kg
42, Female, Sikkim, 8744817454, 187.75 cm, 73.43 kg
1, Female, Bihar, 7251761268, 153.37 cm, 70.29 kg
49, Male, Haryana, 9327485432, 171.85 cm, 67.47 kg
9, Male, Mizoram, 8323672778, 163.91 cm, 71.76 kg
65, Male, Nagaland, 7116285733, 170.64 cm, 79.4 kg
22, Male, Uttar Pradesh, 7613643851, 147.08 cm, 69.79 kg
83, Female, Karnataka, 9746761163, 165.55 cm, 64.45 kg
93, Female, Uttarakhand, 6578683557, 163.58 cm, 74.42 kg
26, Male, Assam, 6511683688, 147.89 cm, 67.98 kg
98, Male, Mizoram, 9215716414, 158.18 cm, 62.89 kg
79, Male, Uttar Pradesh, 6448436267, 154.55 cm, 73.4 kg
71, Male, Chhattisgarh, 7712438271, 161.98 cm, 64.17 kg
41, Male, Jharkhand, 6733145178, 161.54 cm, 71.59 kg
34, Male, Uttar Pradesh, 6357718325, 156.58 cm, 64.95 kg
74, Female, Tamil Nadu, 8172411885, 168.54 cm, 70.19 kg
6, Male, Bihar, 9452117237, 167.13 cm, 78.11 kg
78, Female, Mizoram, 9587355284, 161.42 cm, 76.84 kg
58, Male, Manipur, 7837781415, 170.24 cm, 65.82 kg
72, Male, Haryana, 9872126347, 162.35 cm, 77.95 kg
85, Female, Karnataka, 9411618757, 176.1 cm, 74.55 kg
23, Male, Karnataka, 6517328171, 154.54 cm, 63.1 kg
94, Female, Manipur, 7157813174, 157.72 cm, 66.77 kg
32, Female, Himachal Pradesh, 8373216646, 168.08 cm, 72.14 kg
48, Female, Bihar, 9511846675, 152.5 cm, 69.84 kg
62, Female, Bihar, 8667365826, 148.67 cm, 71.83 kg
80, Male, Chhattisgarh, 9686555643, 172.5 cm, 76.32 kg
18, Male, Telangana, 8257523126, 152.0 cm, 65.07 kg
67, Female, Rajasthan, 6556723812, 145.48 cm, 73.73 kg
14, Female, Gujarat, 6165625436, 162.54 cm, 71.29 kg
7, Female, Tamil Nadu, 9621687353, 167.3 cm, 65.84 kg
42, Female, Assam, 9368286287, 160.81 cm, 70.72 kg
59, Female, Jharkhand, 6323232323, 165.07 cm, 70.47 kg
55, Female, Madhya Pradesh, 9128544148, 149.41 cm, 65.06 kg
3, Female, Uttarakhand, 9662243746, 155.22 cm, 64.95 kg
25, Female, Uttarakhand, 8825253411, 138.92 cm, 69.09 kg
64, Female, Bihar, 6671846688, 156.06 cm, 75.47 kg
28, Female, Uttarakhand, 9828822487, 178.48 cm, 60.6 kg
89, Male, Gujarat, 9327134865, 147.72 cm, 69.23 kg
79, Female, Meghalaya, 7638676464, 141.56 cm, 63.42 kg
8, Male, Goa, 6243822514, 145.64 cm, 71.23 kg
96, Male, Punjab, 6224688283, 165.05 cm, 69.47 kg
9, Male, West Bengal, 9717136874, 140.44 cm, 77.59 kg
27, Female, Arunachal Pradesh, 6774833784, 162.32 cm, 73.65 kg
91, Male, Odisha, 9876435515, 159.9 cm, 67.61 kg
36, Female, Chhattisgarh, 8646884787, 153.42 cm, 73.25 kg
99, Male, Uttar Pradesh, 8312687688, 154.97 cm, 76.59 kg
96, Male, Bihar, 6238726628, 158.39 cm, 77.19 kg
63, Male, Telangana, 7536243674, 155.41 cm, 68.8 kg
87, Female, Assam, 8547322435, 161.76 cm, 67.45 kg
33, Male, Nagaland, 9874887222, 159.9 cm, 73.07 kg
85, Male, Arunachal Pradesh, 7516153833, 181.37 cm, 67.91 kg
67, Female, Punjab, 6481477211, 150.46 cm, 71.95 kg
70, Male, Nagaland, 7481255655, 154.19 cm, 72.02 kg
53, Male, Sikkim, 6831266673, 159.22 cm, 67.65 kg
30, Male, Meghalaya, 7164614177, 153.99 cm, 70.32 kg
76, Male, Sikkim, 9551172465, 174.61 cm, 71.6 kg
83, Male, Arunachal Pradesh, 8484528654, 166.5 cm, 66.19 kg
68, Male, Odisha, 7745428322, 147.99 cm, 74.94 kg
65, Male, Bihar, 8756544238, 154.99 cm, 71.52 kg
79, Female, Karnataka, 6146577136, 161.17 cm, 65.94 kg
13, Male, Goa, 9738388384, 149.73 cm, 62.01 kg
84, Female, Nagaland, 9856266273, 164.58 cm, 69.43 kg
95, Male, Madhya Pradesh, 7227225548, 149.59 cm, 75.33 kg
7, Female, Assam, 9125115168, 159.65 cm, 76.85 kg
64, Female, Sikkim, 9844317376, 156.12 cm, 73.58 kg
52, Male, Assam, 7472368442, 143.07 cm, 72.62 kg
60, Female, Manipur, 6843181334, 165.0 cm, 60.5 kg
70, Male, Chhattisgarh, 6366338452, 149.1 cm, 68.46 kg
49, Female, Telangana, 9315425335, 166.87 cm, 80.1 kg
99, Male, Punjab, 8387833813, 153.09 cm, 63.51 kg
23, Female, Nagaland, 9633756875, 164.45 cm, 76.26 kg
10, Female, Karnataka, 7738857532, 159.65 cm, 75.71 kg
18, Female, Uttar Pradesh, 6332428437, 143.2 cm, 66.14 kg
13, Male, Karnataka, 6552254154, 138.79 cm, 63.97 kg
43, Female, Rajasthan, 6465666821, 177.62 cm, 69.85 kg
9, Female, Manipur, 8377546356, 162.01 cm, 75.1 kg
97, Male, Bihar, 9315433364, 150.74 cm, 63.8 kg
24, Male, Bihar, 6277136541, 161.42 cm, 60.5 kg
77, Female, Kerala, 9526736876, 158.49 cm, 66.78 kg
59, Male, Punjab, 8457488323, 158.46 cm, 72.76 kg
25, Female, Punjab, 7812453335, 160.14 cm, 66.51 kg
92, Female, Telangana, 6641835577, 165.12 cm, 65.78 kg
59, Male, Telangana, 8567422821, 161.02 cm, 66.07 kg
90, Male, Haryana, 6853513576, 137.44 cm, 65.89 kg
29, Male, Uttar Pradesh, 7158461263, 166.01 cm, 72.22 kg
89, Male, Odisha, 8871624615, 177.66 cm, 61.88 kg
68, Female, Himachal Pradesh, 9327423861, 154.44 cm, 68.12 kg
53, Female, Sikkim, 9241172176, 164.78 cm, 69.57 kg
34, Female, Tripura, 9125886688, 175.56 cm, 67.59 kg
33, Male, Goa, 8823667514, 159.89 cm, 70.65 kg
12, Female, Himachal Pradesh, 9475687532, 162.53 cm, 68.78 kg
72, Female, Nagaland, 7552531343, 146.22 cm, 64.4 kg
22, Female, Sikkim, 6585284614, 181.35 cm, 74.31 kg
17, Male, Bihar, 6871151461, 164.67 cm, 79.17 kg
93, Female, Goa, 8167652154, 176.0 cm, 67.22 kg
39, Male, Kerala, 7574668351, 173.46 cm, 72.23 kg
11, Male, Uttarakhand, 6366447354, 166.36 cm, 59.45 kg
84, Female, Manipur, 6311678465, 166.33 cm, 78.14 kg
84, Female, Himachal Pradesh, 8338421584, 144.47 cm, 71.63 kg
48, Male, Uttarakhand, 9256586415, 163.89 cm, 62.84 kg
60, Male, Tripura, 7627521247, 165.39 cm, 69.34 kg
86, Female, Sikkim, 9767771662, 157.09 cm, 78.71 kg
56, Male, Meghalaya, 8368532513, 155.11 cm, 65.92 kg
73, Female, Karnataka, 9488641147, 166.86 cm, 72.15 kg
68, Female, Meghalaya, 9142884133, 154.59 cm, 58.86 kg
70, Male, Gujarat, 8885555266, 167.38 cm, 78.81 kg
91, Female, Meghalaya, 9268517837, 151.2 cm, 74.93 kg
75, Female, Tamil Nadu, 7142666644, 154.4 cm, 68.39 kg
3, Male, Telangana, 8463474448, 134.66 cm, 68.41 kg
59, Female, Kerala, 9384136125, 155.87 cm, 68.45 kg
94, Female, Rajasthan, 7168675588, 172.55 cm, 68.59 kg
2, Female, Maharashtra, 8551728236, 186.26 cm, 69.55 kg
95, Female, Haryana, 9424257817, 142.91 cm, 69.45 kg
93, Female, Odisha, 9127522241, 153.01 cm, 66.18 kg
30, Male, Maharashtra, 8754226522, 149.15 cm, 79.49 kg
45, Male, Telangana, 8117148411, 165.05 cm, 69.09 kg
34, Female, Goa, 7241865814, 165.26 cm, 57.37 kg
88, Female, Kerala, 9634648182, 164.77 cm, 68.22 kg
70, Female, Rajasthan, 8432727128, 155.66 cm, 60.56 kg
59, Male, Haryana, 8857841462, 168.51 cm, 63.32 kg
92, Female, Punjab, 8527213552, 159.85 cm, 71.04 kg
32, Female, Rajasthan, 9154271321, 167.82 cm, 58.93 kg
68, Male, Nagaland, 7281178826, 151.81 cm, 64.19 kg
9, Male, Nagaland, 9648385643, 173.34 cm, 70.29 kg
74, Male, Tripura, 8432354464, 168.35 cm, 70.75 kg
94, Female, Madhya Pradesh, 9144858642, 157.2 cm, 66.54 kg
22, Male, Manipur, 6564665482, 159.51 cm, 70.98 kg
61, Female, Odisha, 8237763574, 156.96 cm, 66.43 kg
41, Female, Karnataka, 6324273435, 168.33 cm, 71.76 kg
78, Female, Rajasthan, 8841247623, 144.72 cm, 79.47 kg
33, Male, Tamil Nadu, 7641537668, 159.54 cm, 71.78 kg
30, Female, Uttarakhand, 6236637678, 175.61 cm, 69.08 kg
14, Male, West Bengal, 7114856615, 177.37 cm, 72.32 kg
31, Male, Madhya Pradesh, 9765365142, 171.12 cm, 69.6 kg
24, Female, Punjab, 8325315686, 146.54 cm, 67.56 kg
64, Female, Odisha, 6143335778, 168.05 cm, 66.51 kg
72, Female, Jharkhand, 8361262122, 163.62 cm, 70.25 kg
36, Female, Kerala, 8642527781, 168.25 cm, 78.44 kg
8, Male, Andhra Pradesh, 7336642772, 165.2 cm, 64.96 kg
60, Female, Meghalaya, 8648132153, 157.72 cm, 71.19 kg
94, Male, Rajasthan, 8345575753, 159.04 cm, 72.4 kg
28, Male, Nagaland, 6165221821, 173.62 cm, 82.18 kg
36, Female, Punjab, 7554583284, 157.56 cm, 71.18 kg
72, Male, Maharashtra, 9116235576, 168.03 cm, 66.06 kg
79, Male, Telangana, 6327838661, 160.0 cm, 70.41 kg
27, Female, Jharkhand, 6532274847, 162.52 cm, 63.99 kg
38, Male, Gujarat, 9223287248, 172.89 cm, 67.59 kg
99, Male, Gujarat, 8548537261, 152.9 cm, 77.44 kg
87, Female, Meghalaya, 9484464277, 155.61 cm, 71.02 kg
48, Female, Haryana, 6185812446, 156.11 cm, 70.37 kg
82, Female, Manipur, 9153611563, 145.9 cm, 71.87 kg
7, Female, Jharkhand, 6764576617, 140.25 cm, 72.75 kg
1, Male, Arunachal Pradesh, 7764783443, 147.63 cm, 70.14 kg
99, Male, Kerala, 7618476717, 166.43 cm, 73.25 kg
68, Female, Mizoram, 9436114143, 161.02 cm, 72.69 kg
42, Female, Manipur, 7421564418, 164.47 cm, 64.81 kg
41, Male, Gujarat, 9165434577, 164.41 cm, 64.02 kg
63, Male, Manipur, 8478112858, 176.98 cm, 78.2 kg
49, Female, Chhattisgarh, 8357516672, 169.19 cm, 75.96 kg
48, Female, Bihar, 9888153335, 166.09 cm, 65.0 kg
66, Female, Mizoram, 6425585276, 156.92 cm, 72.66 kg
49, Male, Assam, 7637352377, 143.91 cm, 64.94 kg
9, Male, Assam, 9324624481, 165.47 cm, 64.93 kg
87, Female, Himachal Pradesh, 7655656135, 160.54 cm, 72.07 kg
18, Male, Haryana, 7878527471, 144.18 cm, 72.33 kg
34, Male, Chhattisgarh, 6147728412, 163.61 cm, 70.94 kg
27, Female, Haryana, 6431587136, 160.06 cm, 70.43 kg
89, Male, Tamil Nadu, 8585647177, 157.7 cm, 68.48 kg
46, Female, Tripura, 8575552172, 164.83 cm, 74.23 kg
28, Female, Mizoram, 9164871132, 175.72 cm, 78.88 kg
42, Female, Bihar, 7882333678, 152.55 cm, 71.36 kg
6, Female, Uttarakhand, 8626533443, 161.63 cm, 71.69 kg
17, Female, Meghalaya, 7186851266, 174.68 cm, 72.79 kg
16, Female, Manipur, 8385377212, 149.87 cm, 80.96 kg
73, Male, Rajasthan, 9134717855, 174.18 cm, 67.0 kg
60, Male, Sikkim, 8411587748, 157.61 cm, 74.88 kg
94, Male, Odisha, 7581273668, 149.09 cm, 65.84 kg
18, Female, Bihar, 6372748446, 158.47 cm, 68.57 kg
42, Male, Haryana, 7261463558, 156.11 cm, 69.91 kg
43, Female, Himachal Pradesh, 7448417577, 167.99 cm, 78.15 kg
1, Female, Punjab, 6346228825, 165.74 cm, 65.88 kg
19, Female, Mizoram, 6755318766, 164.65 cm, 73.61 kg
22, Male, Karnataka, 7441515416, 154.84 cm, 75.02 kg
28, Female, Madhya Pradesh, 9313786237, 144.84 cm, 66.85 kg
56, Female, Karnataka, 8436421452, 162.78 cm, 61.98 kg
55, Male, Kerala, 7345461152, 157.11 cm, 65.12 kg
95, Female, West Bengal, 7763181116, 153.74 cm, 67.02 kg
40, Male, Karnataka, 6348713868, 162.29 cm, 72.79 kg
31, Female, Karnataka, 7351541253, 163.36 cm, 67.73 kg
3, Male, Kerala, 9758218432, 158.29 cm, 65.7 kg
32, Male, Sikkim, 6882784135, 167.38 cm, 78.88 kg
18, Female, Telangana, 7183488828, 151.97 cm, 71.53 kg
35, Female, Gujarat, 6256787386, 161.26 cm, 72.33 kg
25, Female, Uttar Pradesh, 7722557581, 152.54 cm, 70.05 kg
59, Male, Kerala, 7618433837, 164.21 cm, 58.6 kg
74, Male, Madhya Pradesh, 7754512388, 152.92 cm, 66.97 kg
66, Male, Goa, 9328382776, 177.47 cm, 68.37 kg
19, Male, Meghalaya, 6185243233, 158.09 cm, 67.06 kg
90, Female, Punjab, 9451487384, 159.28 cm, 70.94 kg
15, Female, Uttar Pradesh, 9486825534, 140.73 cm, 77.78 kg
5, Female, Goa, 7236326471, 183.21 cm, 65.73 kg
11, Female, Nagaland, 9388387265, 154.76 cm, 72.05 kg
15, Male, Uttarakhand, 6122642775, 148.14 cm, 78.45 kg
45, Male, Arunachal Pradesh, 6173324286, 161.82 cm, 68.52 kg
59, Male, Rajasthan, 8223637422, 175.75 cm, 65.72 kg
93, Male, Meghalaya, 8856432214, 141.56 cm, 55.68 kg
31, Male, Tamil Nadu, 9222511752, 149.26 cm, 68.15 kg
88, Male, Chhattisgarh, 8168514284, 154.9 cm, 61.56 kg
50, Male, Arunachal Pradesh, 8653638135, 143.6 cm, 65.55 kg
11, Female, Uttar Pradesh, 8184161213, 149.99 cm, 69.21 kg
80, Female, Kerala, 7652583533, 183.54 cm, 77.21 kg
20, Female, Uttarakhand, 9355274443, 155.57 cm, 70.95 kg
57, Male, Meghalaya, 7425535487, 165.77 cm, 64.76 kg
45, Male, Haryana, 8746472615, 151.0 cm, 74.32 kg
96, Male, Manipur, 6255611528, 150.37 cm, 63.11 kg
30, Male, Chhattisgarh, 9777363115, 175.69 cm, 66.12 kg
36, Female, Telangana, 8746568831, 178.11 cm, 63.62 kg
10, Male, West Bengal, 6683157663, 147.74 cm, 70.41 kg
72, Male, Gujarat, 6278471454, 164.8 cm, 68.16 kg
10, Female, Sikkim, 6271365747, 152.9 cm, 64.44 kg
37, Male, Mizoram, 6577272513, 157.03 cm, 72.07 kg
82, Male, Jharkhand, 6463642184, 172.93 cm, 67.41 kg
3, Female, Bihar, 8284134672, 155.49 cm, 70.49 kg
49, Female, Kerala, 8328338572, 152.58 cm, 61.93 kg
69, Female, Manipur, 8765314314, 159.54 cm, 71.38 kg
52, Male, Nagaland, 8116512788, 143.69 cm, 72.41 kg
74, Male, Madhya Pradesh, 8511324135, 169.24 cm, 75.58 kg
79, Female, Chhattisgarh, 7885116243, 173.27 cm, 67.29 kg
7, Male, Odisha, 8166641124, 184.48 cm, 68.31 kg
34, Male, Tamil Nadu, 8757158682, 163.02 cm, 74.94 kg
96, Male, Manipur, 8872136246, 148.0 cm, 69.04 kg
41, Male, Kerala, 7361717456, 145.15 cm, 67.71 kg
50, Female, Rajasthan, 8126452786, 160.99 cm, 69.25 kg
61, Female, Karnataka, 6683612757, 171.98 cm, 73.86 kg
8, Female, Kerala, 8471451883, 190.02 cm, 66.86 kg
7, Female, Madhya Pradesh, 8625754355, 156.32 cm, 63.35 kg
20, Female, Meghalaya, 9846174436, 171.89 cm, 75.95 kg
18, Female, Himachal Pradesh, 9832538546, 150.31 cm, 80.16 kg
4, Male, West Bengal, 9363426437, 152.53 cm, 77.63 kg
34, Male, Mizoram, 8323786284, 147.86 cm, 70.61 kg
1, Male, Himachal Pradesh, 7471127245, 141.63 cm, 67.23 kg
40, Female, Andhra Pradesh, 8843733551, 151.99 cm, 73.5 kg
22, Female, Chhattisgarh, 6512832238, 161.6 cm, 71.15 kg
8, Male, Kerala, 7421655228, 168.15 cm, 76.72 kg
27, Female, Gujarat, 6276811767, 160.92 cm, 58.77 kg
99, Male, Kerala, 6185577617, 164.83 cm, 70.65 kg
40, Male, Haryana, 8167363178, 167.96 cm, 70.4 kg
55, Male, Mizoram, 6865134352, 169.25 cm, 73.57 kg
19, Male, Nagaland, 9632758652, 161.83 cm, 77.1 kg
23, Male, Tamil Nadu, 7287515741, 159.89 cm, 64.38 kg
65, Male, Tripura, 9627357426, 142.9 cm, 78.1 kg
18, Female, Sikkim, 9557632631, 162.3 cm, 71.28 kg
50, Male, Maharashtra, 7685841315, 155.3 cm, 65.88 kg
11, Female, Uttarakhand, 9258655548, 172.02 cm, 67.88 kg
19, Male, Uttar Pradesh, 7724127166, 145.01 cm, 68.65 kg
38, Male, Arunachal Pradesh, 8723173726, 158.48 cm, 67.1 kg
58, Female, Andhra Pradesh, 7371244762, 158.44 cm, 73.6 kg
78, Female, Jharkhand, 7855234465, 163.0 cm, 67.74 kg
66, Female, Arunachal Pradesh, 9816428175, 163.92 cm, 64.71 kg
12, Female, Tamil Nadu, 6318571843, 163.65 cm, 74.25 kg
64, Male, Odisha, 8434651586, 154.47 cm, 74.87 kg
76, Male, Nagaland, 7736251472, 170.61 cm, 61.95 kg
7, Male, Kerala, 7567467415, 173.4 cm, 71.15 kg
47, Male, Chhattisgarh, 9226117737, 165.83 cm, 72.33 kg
7, Male, Uttarakhand, 6587187512, 150.22 cm, 67.25 kg
44, Male, Nagaland, 8145323881, 173.42 cm, 79.51 kg
